id,section,number,question,correct_answer,ds_withRAG,ds_withoutRAG,llama_withRAG,llama_withoutRAG,
4f4d02de-ce99-4700-aa08-c6f1ae79eb0f,Synthetic Polymers for Biomaterial Processing,49,Polyesters are a kind of Natural polymer.,b,b,b,b,a,
d4b5e8ce-219a-4dda-945e-2f3ed371d7dc,Synthetic Polymers for Biomaterial Processing,50,Synthetic polymers can be manufactured with additional chemical functional groups to induce tissue regeneration.,a,a,a,a,a,
60d3b4f3-0b69-43d3-899e-a50f114ce797,Synthetic Polymers for Biomaterial Processing,51,Polylactides are non-biodegradable in nature.,b,b,b,b,b,
ec624792-dbcb-4721-962e-85b985859064,Hydrogels for Biomaterial Processing,52,Hydrogels consist of _________ functional groups.,a,a,c,a,a,
c4243a43-bb06-4602-b805-a584a4fd4061,Hydrogels for Biomaterial Processing,53,__________ is a network of polymer chains that are hydrophilic.,a,a,a,a,a,
ed069ea0-ca1f-4280-ae62-6efb8b460843,Hydrogels for Biomaterial Processing,54,Hydrogel forming natural polymers includes both proteins and _____________,a,a,a,a,a,
6a8dab17-ca88-417f-83d3-b8995f8572d2,Hydrogels for Biomaterial Processing,55,Hydrogels cannot be shrunk or expanded.,b,b,b,a,b,
32d159ce-a458-4028-a37e-f8093b61dd22,Hydrogels for Biomaterial Processing,56,____________ hydrogels are referred to polymer network derived from a single species of monomer.,a,a,a,a,a,
7ae8a601-bacc-46cb-a6c3-89165ee70678,Hydrogels for Biomaterial Processing,57,Hydrogels can be classified into two groups based on their polymeric composition.,b,a,a,a,a,
9398df15-eb12-4509-8bbf-732f463bb52c,Hydrogels for Biomaterial Processing,58,Hydrogels can be classified into two groups based on their configuration.,b,b,a,a,a,
1df82e95-30ab-4628-bb24-dd2c8ac1368c,Hydrogels for Biomaterial Processing,59,Which of the following is a group under the classification of hydrogels based on the network’s electrical charge?,a,a,a,c,a,
4af29b0b-4aab-4ed3-9b7c-ad88b6748dfb,Hydrogels for Biomaterial Processing,60,An ideal hydrogel material must have a high absorption capacity in a sugar saturated solution.,b,b,b,a,a,
2462f881-2612-4011-8504-60255217ac18,Bioceramics for Biomaterial Processing,61,____________ was the earliest used bio-ceramic.,a,b,a,b,a,
1cb80c4e-3f11-459d-ba2a-026effe63d09,Bioceramics for Biomaterial Processing,62,__________ family of ceramics is widely used for bone defects.,a,a,a,a,a,
21940f74-8f29-4eb7-bc9b-e6086444267d,Bioceramics for Biomaterial Processing,63,_____________ is a large class of inorganic nonmetallic materials.,a,a,a,a,a,
c4ca6b05-53ce-4083-b469-f358e9705d54,Bioceramics for Biomaterial Processing,64,"In general, bioceramics are classified into two families.",a,b,b,a,a,
8beba2a2-43b6-4d7e-b59d-115b141934a1,Bioceramics for Biomaterial Processing,65,__________ and glass-ceramic contain rich CaO and P2O5 contents.,a,a,a,a,a,
bd285c1e-c3db-4b8d-8132-37b5b391437f,Fundamentals of Tissue Engineering,66,What is the main component of the tissues in our body?,a,a,a,a,a,
0f6eae11-8d11-46da-88dd-7a050a334665,Fundamentals of Tissue Engineering,67,What was a loose belief on which the miasma theory was based on?,a,a,a,a,b,
ad94569d-c9a0-49c9-bd04-082a284fd1b4,Fundamentals of Tissue Engineering,68,Tissue transplants usually give rise to a ______ response.,b,b,b,b,b,
80319c0c-0aec-4bdd-83fd-6ec7aa614b9e,Fundamentals of Tissue Engineering,69,"Tissue Engineering is a branch of Biotechnology which relies on the knowledge available in the other branches of Biotechnology like biochemistry, cell biology, immunology, and genetics.",a,a,a,a,a,
0e7ec371-b402-4566-8134-848b2b353823,Fundamentals of Tissue Engineering,70,_________ approach of tissue engineering facilitates the self-repair of tissues.,b,b,b,c,a,
77d86050-a6e2-4193-a688-71090bf20880,Fundamentals of Tissue Engineering,71,Allo-transplantation is a technique of transplantation of cells in which the cells are derived from a genetically identical donor.,b,b,b,a,a,
4511cb6f-361e-4508-86b7-6ca3f81dc2a8,Fundamentals of Tissue Engineering,72,"____________ is a very important component in tissue engineering, which incorporates the three important elements, cells, biomaterials, and growth factors.",b,a,a,c,a,
d17ff082-cd53-4017-bdf2-af207de1d1db,Fundamentals of Tissue Engineering,73,___________ are the favorite cell type in tissue engineering as they don’t evoke an immune response.,a,a,a,d,b,
dddaf73a-7df1-4eb6-aea6-516c4c26bb71,Fundamentals of Tissue Engineering,74,Which organ cannot be transplanted at present?,a,a,b,a,a,
a66d3707-7a3c-4ba9-aa22-8742315865ab,Fundamentals of Tissue Engineering,75,"If a person is going to receive stem cell transplantation, they need to go through chemotherapy and other radiation procedures as a part of the preparation for the transplantation.",a,b,b,a,a,
c7da2906-3cda-4645-9b38-e2f6d0f08c2e,Fundamentals of Tissue Engineering,76,A bone marrow donor for bone marrow transplant is compulsorily supposed to be a relative.,b,b,b,b,a,
f6f47865-dbcc-4a00-86f8-12d2484c26db,Fundamentals of Tissue Engineering,77,__________ is considered as a miraculous solution to Organ shortages.,a,a,a,a,a,
ad567cca-fe0a-4baf-9be6-e657f2a0dcc2,Fundamentals of Tissue Engineering,78,Which of the following is a major focus of a technique of tissue engineering called autologous chondrocyte transplantation (ACT)?,a,a,a,a,a,
,,,,,18/78,22/78,28/78,27/78,
,,,,,76.92%,71.79%,64.10%,65.38%,
